2026-04-12 15:28:16 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 15:28:21 | INFO     | app.main | Verath shut down cleanly
2026-04-12 15:28:21 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 15:28:21 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 15:28:24 | INFO     | app.main | Verath starting up...
2026-04-12 15:28:24 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 15:28:24 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 15:28:24 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 15:28:24 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 15:28:24 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 15:28:24 | INFO     | app.main | Verath shut down cleanly
2026-04-12 15:28:24 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 15:28:24 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 15:28:32 | INFO     | app.main | Verath starting up...
2026-04-12 15:28:32 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 15:28:32 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 15:28:32 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 15:28:32 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 15:28:32 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 15:28:32 | INFO     | app.main | Verath shut down cleanly
2026-04-12 15:28:32 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 15:28:32 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 15:28:36 | INFO     | app.main | Verath starting up...
2026-04-12 15:28:36 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 15:28:36 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 15:28:36 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 15:28:36 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 15:28:36 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 15:28:42 | INFO     | app.main | Verath shut down cleanly
2026-04-12 15:28:42 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 15:28:42 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 15:28:44 | INFO     | app.main | Verath starting up...
2026-04-12 15:28:44 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 15:28:44 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 15:28:44 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 15:28:44 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 15:28:44 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 15:29:06 | INFO     | app.main | Verath starting up...
2026-04-12 15:29:06 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 15:29:06 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 15:29:06 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 15:29:06 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 15:29:06 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 15:29:41 | INFO     | app.main | Verath starting up...
2026-04-12 15:29:41 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 15:29:41 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 15:29:41 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 15:29:41 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 15:29:41 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 15:29:41 | INFO     | app.main | Verath shut down cleanly
2026-04-12 15:29:41 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 15:29:41 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 15:29:58 | INFO     | app.main | Verath starting up...
2026-04-12 15:29:58 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 15:29:58 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 15:29:58 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 15:29:58 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 15:29:58 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 15:30:14 | INFO     | app.main | Verath starting up...
2026-04-12 15:30:14 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 15:30:14 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 15:30:14 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 15:30:14 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 15:30:14 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 15:33:53 | INFO     | app.main | Verath shut down cleanly
2026-04-12 15:33:53 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 15:33:53 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 17:21:07 | INFO     | app.main | Verath starting up...
2026-04-12 17:21:07 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 17:21:07 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 17:21:07 | INFO     | apscheduler.scheduler | Scheduler started
